"A copy of this regisdivationform will be sent to the e-mail address provided for reference.",此註冊表格的副本將發送到提供參考的電子郵件。
"Security question",保安問題
"Your answer",您的答案
"Date of Birth",出生日期
"Product Information ",產品信息
Brand,品牌
"Product Category",產品類別
"Keycard Information",卡片信息
"Invoice No",發票號碼
"Warranty Details",保養詳情
"Invoice No.",發票號碼
"Date of Purchase",購買日期
"Date of Warranty Creation",保養創建日期
"Detail Info",詳細信息
"Warranty #",保養#
"Serial Number : ","序號 ："
"Profile : ",資料：
"T combination : ",T組合：
"FP combination : ",FP組合：
Actions,操作
"View Warranty",查看保養
"You have no warranties.",您沒有保養。
"ID Type",身份證明文件類型
"Hong Kong ID",香港身份證
"ID Number",身份證號碼
"Sumbit Above Information",提交上述資料
"Reference No.",參考編號
"Dear %name,","親愛的 %name,"
"Thank you for using our online registration service. Attached please kindly find a copy of your registration form for reference.","感謝您使用我們的在線註冊服務。 附件有您的註冊表副本以供參考。"
"Customer Information ",客戶信息
"Hong Kong ID /Passport or other ID","香港身份證號碼 / 護照或其他身份證明號碼"
%name,%name
"Your answer ",您的答案
"Mul-T-Lock MT5","Mul-T-Lock MT5"
"Key Information",卡片信息
"1. Serial Number",1.序號
"2. Profile ",2.簡介
"3. T-Combination",3.T-組合
"4. FP-Combination",4.FP組合
"Purchase Information ",購買信息
"Should you have any enquiries, please call our customer service hotline at 852-2765 9667 for assistance.","如有任何疑問，請致電我們的客戶服務熱線852-2765 9667查詢。"
"Yours faithfully,",謹啟
"The PLC Group",PLC集團
"Enter Valid HKID/Passport Number","輸入有效的香港身份證/護照號碼"
CSV,CSV
"Excel XML","Excel XML"
"Delete items",刪除項目
"Are you sure you wan't to delete selected items?",您確定要刪除所選項目嗎？
Disable,下線
Enable,上線
ID,ID
"English Frist Name",英文名字
"Chinese Frist Name",中文名字
"Chinese Last Name",中文姓氏
"Passport Number",護照號碼
"Contact One Country Code","聯繫一 國家代碼"
"Contact One Phone","聯繫一 電話"
"Contact Two Country Code","聯繫二 國家代碼"
"Contact Two Phone","聯繫二 電話"
"Security Question",安全問題
"Date Of Birth",出生日期
T-combination,T組合
FP-combination,FP組合
"Name Of Dealer",經銷商名稱
"Invoice Number",發票號碼
Created,創建
Modified,更改
"My Warranty Record",我的保養記錄
"My Warranty Detail",我的保養詳情
"Thank you!",謝謝！
"Thank you for registering your Mul-T-Lock MT5 product. You should receive a confirmation email shortly. Please call our CS Hotline @ 2765 9667 or email to plc@plc.com.hk if you have any questions regarding your product.","感謝您註冊您的Mul-T-Lock MT5產品。 您很快就會收到確認電子郵件。 如有任何有關您的產品的問題，請致電我們的客戶服務熱線2765 9667或電郵至plc@plc.com.hk。"
"Edit Warranty %1",編輯保養%1
"Chinese First Name",中文名字
"Dealer Network",經銷商網絡
"We cant find a warranty to delete.",我們無法刪除保養資料。
"We cant process your request right now. ",我們目前無法處理您的要請求。
"Are you sure you want to delete a ${ $.$data.title } record?","您確定您想刪除$ {$。$ data。title}記錄？"
"Question Type",問題類型
"Please select one of the options.","請選擇一個選項"
"Select One","選擇以下選項"
